id,domain,surface,tab,entity,operation,sourceFile,sourceLine,currentBehaviour,requiredBehaviour,apiMethodPath,validation,authorization,states,sideEffect,persistence,evidence,status,blockedBy
OP-ITAM-DASH-LEAVER-LIST,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=dashboard,,Asset,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,105,Lists name + assignedTo string; permanently empty for the reason above.,"List with custodian, last working day and a 'start recovery' action.",GET /api/v1/assets?custodianStatus=leaver,,Asset admin,,none,unknown,,SERVED,
OP-ITAM-DASH-TILE-DRILLTHROUGH,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=dashboard,,Asset,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,68,"No-op — tiles are plain divs with no onClick and no href, so a non-zero count cannot be opened.",Each tile links to the register or requests list pre-filtered to that population.,n/a (navigation),,Asset viewer,,none,browser-only,,DISCOVERED,
OP-ITAM-ASSET-LIST,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,145,"useMemo filter over the whole localStorage array; no pagination, no sort, no server call. Empty state at line 339.","Server list with cursor pagination, sort, and the filter set below applied in SQL; tenant+company scoped.",GET /api/v1/assets,limit<=100; unknown filter keys rejected,Asset viewer; rows restricted to the caller's tenant and permitted companies,,none,browser-only,,SERVED,
OP-ITAM-ASSET-FILTER-TYPE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,206,"setState only; options come from the asset_types taxonomy, compared against asset.type by string equality.",Filter by assetTypeId; selection persisted in the URL so the view is shareable.,GET /api/v1/assets?assetTypeId=,assetTypeId must exist in the tenant's asset_types taxonomy,Asset viewer,,none,browser-only,,SERVED,
OP-ITAM-ASSET-FILTER-PROJECT,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,219,"setState only. The option list is DISTINCT over the free-text asset.project strings of loaded rows (line 143), so it changes as rows are added and a typo becomes a permanent 'project'.",Filter by projectId against a real project list.,GET /api/v1/assets?projectId=,,Asset viewer,,none,browser-only,,SERVED,
OP-ITAM-ASSET-FILTER-STAGE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,256,setState only; chips for 'All' plus the six stages.,Server filter on stage; multi-select.,GET /api/v1/assets?stage=,stage must be one of the six enum values,Asset viewer,,none,browser-only,,SERVED,
OP-ITAM-ASSET-STAGE-COUNTS,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,156,"countFor() counts the FULL asset array and ignores the active type/project/search filters, so the chip numbers contradict the table below them.",Faceted counts computed over the same predicate as the list.,GET /api/v1/assets/facets,,Asset viewer,,none,unknown,,SERVED,
OP-ITAM-ASSET-SEARCH,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,274,"Client substring match over name + tagNo + assignedTo, lowercased, no debounce.","Server search over name, tag, serial and custodian with a trigram or tsvector index.",GET /api/v1/assets?q=,q length <= 200,Asset viewer,,none,unknown,,SERVED,
OP-ITAM-ASSET-EXPORT-CSV,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,export,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,159,"Triggers a Blob download named asset-register.csv built with join(','). No quoting, no escaping and no formula guard, so any name containing a comma corrupts the row — even though src/lib/csv.ts already exports csvCell()/downloadCsv() that do this correctly.","Server-generated export over the permitted, filtered set using the shared CSV writer; record the export in the audit trail.",POST /api/v1/assets/exports,Filter snapshot validated server-side; formula-injection escaping mandatory,Asset viewer; export scoped to the caller's visible rows,,File download,unknown,,DISCOVERED,
OP-ITAM-ASSET-IMPORT-CSV,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,import,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,174,"FileReader + row.split(',') with the header row dropped blindly, then one addAsset() per row into localStorage. Its column order (name,type,stage,project,purchase,warranty) does NOT match the exporter's (asset,tag_no,type,stage,project,purchase,assigned_to,warranty_end), so re-importing this screen's own export shifts every column. No validation of stage or type, no dedup, no rollback.",Staged upload -> parse with the quoted parser -> validate each row against taxonomies and the stage enum -> show a mapping/error preview -> atomic commit with an AssetImportBatch row.,POST /api/v1/assets/imports then POST /api/v1/assets/imports/{id}/commit,MIME + size checks; header mapping; type and stage must resolve; reject duplicate tags/serials,Asset admin,,File upload; bulk insert,browser-only,,DISCOVERED,
OP-ITAM-ASSET-RECEIVE-FROM-PURCHASE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,create,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,243,setNote() with the canned string 'No purchase receipts are waiting. Assets appear here once a PO is received.' No purchasing data is consulted — there is no PO entity in the codebase.,"List received PO lines awaiting tagging and create one tagged unit per received quantity, linked to the PO line. BLOCKED until a purchasing source is chosen.",GET /api/v1/assets/receivable-lines; POST /api/v1/assets/receive,,Asset admin,,Reads the purchasing module,unknown,,DISCOVERED,
OP-ITAM-ASSET-CREATE-OPEN,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,create,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,249,"setOpen(true) — opens the New asset dialog. The draft's default type is types[0] evaluated at first render, so it goes stale if taxonomies change in another tab.",Open a form seeded from a fresh server-fetched taxonomy.,GET /api/v1/assets/form-schema,,Asset admin,,none,unknown,,DISCOVERED,
OP-ITAM-ASSET-CREATE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets (New asset dialog),,Asset,create,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,425,"addAsset() -> workspace.tsx:1712 writes the row plus an audit row into localStorage. Only name is required (disabled={!draft.name.trim()}); assignedTo is hardcoded null; the stage select permits creating a unit directly as 'Issued' or even 'Retired'; warrantyEnd may be any past date; no custom fields, make, model or mode-of-purchase are collected.","POST validating name, assetTypeId, stage (creation restricted to In Stock unless a custody record accompanies it), warranty dates, project/PO references and all required custom fields; emit an AssetEvent 'created'.",POST /api/v1/assets,name 1..200 non-blank; assetTypeId exists; stage in enum; warrantyEnd >= acquiredOn; unique tag; unknown fields rejected,"Asset admin, tenant+company scoped",,Audit row,browser-only,,SERVED,
OP-ITAM-ASSET-TAG-ALLOCATE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets (server side of create),,AssetTagSequence,create,/Users/sushank/.codex/worktrees/ac6c/gst/src/lib/workspace.tsx,1717,"seq = count of existing assets of that type + 1, padded to 4, prefixed by the taxonomy tagPrefix or 'AST-'. Deleting an asset and creating another of the same type re-issues a tag that already existed, and no uniqueness check exists.","Allocate from a locked sequence row inside the create transaction; enforce UNIQUE(tenant_id, company_id, tag_no).",internal (within POST /api/v1/assets),"Unique violation retried, never silently reused",Service-internal,,Sequence increment,unknown,,DISCOVERED,
OP-ITAM-ASSET-STAGE-SET,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets (row dropdown),,Asset,transition,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,307,"updateAsset(id,{stage}) -> workspace.tsx:1736 overwrites stage in place. Any stage may be chosen from any other, including 'Issued' with no request and no custodian, and 'Retired' with no reason. The previous stage is lost; the audit row stores the raw UUID.","Replace the free dropdown with guarded transitions (issue / return / send for repair / close repair / start check / retire), each writing an AssetEvent with from/to, actor and reason, and each enforcing its precondition.",POST /api/v1/assets/{id}/transitions,Transition must be legal from the current stage; 'Issued' requires an approved request and a custodian; 'Retired' requires a retirement reason,Asset admin; issue additionally requires an approved request,,Audit row; asset event,unknown,,DISCOVERED,
OP-ITAM-ASSET-DELETE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets (row 🗑),,Asset,delete,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,328,"removeAsset(id) -> workspace.tsx:1746 hard-deletes the row from the array immediately, with no confirmation dialog and no undo. The unit, its tag and everything that would have been its custody and financial history vanish; the audit row records only the UUID of something that no longer exists.","Replace with archive/void: set archived_at, keep the tag reserved, keep all events and assignments. Permit true deletion only for a never-issued unit created in error, and only with an explicit reason recorded. This is the Loop 29 release gate.",POST /api/v1/assets/{id}/archive,Refuse archive while an active assignment exists; require a reason,Asset admin; hard delete restricted to tenant owner,,Audit row,unknown,,DISCOVERED,
OP-ITAM-ASSET-DETAIL-READ,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,303,"No-op — the row has no link, no click target and there is no asset detail route in src/app. A unit cannot be opened.","Detail surface showing identity, custody timeline, service history, warranty and custom fields.",GET /api/v1/assets/{id},,Asset viewer,,none,browser-only,,SERVED,
OP-ITAM-ASSET-EDIT,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,Asset,update,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,303,"Missing — stage is the only editable attribute after creation; name, type, project, PO reference and warranty cannot be corrected at all.",Full edit form with optimistic-concurrency (updatedAt / version) and field-level audit.,PATCH /api/v1/assets/{id},Same as create; version conflict returns 409,Asset admin,,Audit row,unknown,,SERVED,
OP-ITAM-ASSET-ASSIGN,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,AssetAssignment,create,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,429,"Missing entirely — assignedTo is only ever written as null (panes.tsx:190 and :429). There is no assign control anywhere in the app, which is why the Assigned to column, the My Asset tab and the leaver tile are permanently empty.","Issue a unit to a custodian against an approved request; open an AssetAssignment, set the asset to Issued and write an AssetEvent.",POST /api/v1/assets/{id}/assignments,Asset must be In Stock or Allocated; one active assignment per asset; custodian must be an active tenant member; approved request required,Asset admin,,Audit row; notification to the custodian,unknown,,DISCOVERED,
OP-ITAM-ASSET-RETURN,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,AssetAssignment,transition,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,307,"Missing — the nearest thing is flipping the stage dropdown back to 'In Stock', which records nothing about who returned what or in what condition.","Close the active assignment with returnedAt, condition and receiver; move the asset to Awaiting check or In Stock.",POST /api/v1/assets/{id}/assignments/{assignmentId}/return,An active assignment must exist,Asset admin,,Audit row,unknown,,DISCOVERED,
OP-ITAM-ASSET-TRANSFER,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,AssetAssignment,transition,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,307,Missing — no control; a transfer today would be an untracked edit of a name string.,"Atomically close the current assignment and open the next, preserving both periods.",POST /api/v1/assets/{id}/transfer,Single transaction; target custodian active,Asset admin,,Audit row; notifications,unknown,,DISCOVERED,
OP-ITAM-ASSET-REPAIR-OPEN,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,AssetServiceRecord,create,/Users/sushank/.codex/worktrees/ac6c/gst/src/lib/assetData.ts,16,"Missing — 'In Repair' is a selectable stage label with no record behind it, despite the support Reasons taxonomy being seeded with five entries.","Open a service record with a reason, vendor and expected return; move the asset to In Repair.",POST /api/v1/assets/{id}/service-records,reasonEntryId must belong to the 'reasons' taxonomy,Asset admin,,Audit row,unknown,,DISCOVERED,
OP-ITAM-ASSET-REPAIR-CLOSE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,AssetServiceRecord,transition,/Users/sushank/.codex/worktrees/ac6c/gst/src/lib/assetData.ts,16,Missing.,"Close the record with an outcome and optional cost, then return the asset to its prior stage.",POST /api/v1/assets/service-records/{id}/close,"cost is numeric(18,4) with a currency when present",Asset admin,,Audit row,unknown,,DISCOVERED,
OP-ITAM-ASSET-CHECK,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,AssetEvent,transition,/Users/sushank/.codex/worktrees/ac6c/gst/src/lib/assetData.ts,16,"Missing — 'Awaiting check' is a label only; nothing defines what the check is, who performs it or what it produces.","Record an inspection outcome that routes the unit to In Stock, In Repair or Retired. Semantics unconfirmed — see openQuestions.",POST /api/v1/assets/{id}/checks,,Asset admin,,Audit row,unknown,,DISCOVERED,
OP-ITAM-ASSET-RETIRE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets,,AssetRetirement,transition,/Users/sushank/.codex/worktrees/ac6c/gst/src/lib/assetData.ts,94,"Missing as an operation — a unit is retired by picking 'Retired' in the row dropdown, which captures no reason even though six retirement reasons are seeded and no disposal record is produced.","Retire with a mandatory reason, date and optional proceeds; block retirement while an assignment is active; the unit stays queryable and drops out of the active estate.",POST /api/v1/assets/{id}/retire,reasonEntryId from 'retirement_reasons'; no active assignment; retiredOn not in the future,Asset admin,,Audit row,unknown,,SERVED,
OP-ITAM-ASSET-CUSTOMFIELD-CAPTURE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets (New asset dialog),,AssetCustomFieldValue,update,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,356,"Missing — the dialog renders six fixed fields and never reads assetSettings.customFields, so configured custom fields can never hold a value.","Render configured fields by type, validate required ones, persist to AssetCustomFieldValue.",POST /api/v1/assets (customFields payload),Unknown field keys rejected; number/date coerced and range-checked; select values must be in options,Asset admin,,none,unknown,,DISCOVERED,
OP-ITAM-ASSET-MAKE-MODEL-CAPTURE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=assets (New asset dialog),,Asset,update,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,366,"Missing — the makes taxonomy ships ten entries and mode_of_purchase three, but no form field, table column, filter or report references any of them.","Capture make, model and mode of purchase on the asset, or retire the taxonomies. Confirm before building.",POST /api/v1/assets,,Asset admin,,none,unknown,,SERVED,
OP-ITAM-MYASSET-LIST,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=my_equipment,,Asset,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,446,"assets.filter(assignedTo === session?.user.fullName) — string equality on a display name against a field nothing ever writes, so this list is permanently empty and the 'not linked to an employee record' message always shows.","List by custodian user id from the session, covering current and past assignments.",GET /api/v1/assets/my,,"Any tenant member, restricted to their own assignments",,none,unknown,,DISCOVERED,
OP-ITAM-MYASSET-HISTORY,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=my_equipment,,AssetAssignment,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,452,"Missing — the copy promises 'past and present' periods but only the current assignedTo value could ever be shown, and past holders are explicitly excluded.",Return the caller's own assignment periods with issue/return dates; never expose other custodians.,GET /api/v1/assets/my/assignments,,Self only,,none,unknown,,DISCOVERED,
OP-ITAM-MYASSET-ACKNOWLEDGE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=my_equipment,,AssetAssignment,transition,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,461,"Missing — rows are read-only; a custodian cannot acknowledge receipt, report a fault or start a return.",Self-service acknowledge / report issue / request return from this surface.,POST /api/v1/assets/my/assignments/{id}/acknowledge,,Self only,,Audit row,unknown,,DISCOVERED,
OP-ITAM-REQ-LIST,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests,,AssetRequest,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,493,"Client filter over the whole array; every tenant request is visible to every user, including other people's request text.","Server list scoped by role: requesters see their own, approvers see what is on their level, admins see all.",GET /api/v1/assets/requests,limit<=100,Role-scoped row filter enforced server-side,,none,unknown,,SERVED,
OP-ITAM-REQ-SCOPE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests,,AssetRequest,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,541,setState only. 'Mine' compares raisedBy to session.user.fullName; 'Waiting on me' merely filters status === 'Pending' (line 495) without checking whether the viewer is an approver at all.,'Mine' by raisedByUserId; 'Waiting on me' by an open approval step assigned to the caller.,GET /api/v1/assets/requests?scope=mine|awaiting_me,,Self / approver resolution server-side,,none,browser-only,,SERVED,
OP-ITAM-REQ-FILTER-TYPE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests,,AssetRequest,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,512,setState only; options from the hardcoded requestTypes array.,Server filter on the type enum.,GET /api/v1/assets/requests?type=,type in enum,As per list,,none,browser-only,,SERVED,
OP-ITAM-REQ-FILTER-STATUS,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests,,AssetRequest,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,523,setState only; 'Issued' is offered as a filter even though nothing can ever set that status.,Server filter on the status enum.,GET /api/v1/assets/requests?status=,status in enum,As per list,,none,browser-only,,SERVED,
OP-ITAM-REQ-SEARCH,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests,,AssetRequest,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,565,"Client substring match over reference + type + raisedBy. The placeholder is truncated mid-sentence: 'Search reference, type, person or...'.","Server search over reference, detail and requester; fix the placeholder.",GET /api/v1/assets/requests?q=,,As per list,,none,unknown,,SERVED,
OP-ITAM-REQ-CREATE-OPEN,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests,,AssetRequest,create,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,534,setOpen(true).,"Open a form that also collects the asset type, the person it is for and any related asset.",n/a,,Any tenant member,,none,unknown,,DISCOVERED,
OP-ITAM-REQ-CREATE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests (New request dialog),,AssetRequest,create,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,678,"addAssetRequest() -> workspace.tsx:1756 writes to localStorage with status 'Pending', raisedBy = the session full name or the literal 'Me', and a reference derived from array length. Only detail is required. No approval steps are created and nobody is notified.","POST that allocates a real reference, snapshots the current approval ladder into AssetRequestApproval rows, sets currentLevel = 1 and notifies level-1 approvers.",POST /api/v1/assets/requests,type in enum; detail 1..2000; requestedFor must be a tenant member; Replacement/Return/Repair require relatedAssetId,Any tenant member,,Audit row; approver notification,browser-only,,SERVED,
OP-ITAM-REQ-REFERENCE-ALLOCATE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests (server side),,AssetRequest,create,/Users/sushank/.codex/worktrees/ac6c/gst/src/lib/workspace.tsx,1762,"`REQ-${(assetRequests.length + 1).padStart(4,'0')}` — collides on any deletion and is per-browser, not per-tenant.","Allocate from a tenant sequence inside the transaction; UNIQUE(tenant_id, reference).",internal,,Service-internal,,Sequence increment,unknown,,DISCOVERED,
OP-ITAM-REQ-APPROVE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests (row Approve),,AssetRequest,transition,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,616,"decideAssetRequest(id,'Approved',me) -> workspace.tsx:1778 sets status and approvedBy in one click. The configured approval ladder is never read, any signed-in user can approve, a requester can approve their own request, no timestamp or note is captured and the decision cannot be reversed.",Resolve the caller against the open approval step; record the level decision; advance to the next level or mark the request Approved only when the last level agrees.,POST /api/v1/assets/requests/{id}/approve,Request must be Pending with an open step for the caller; idempotency key required,Caller must hold the role/identity on the current open level; self-approval blocked unless explicitly permitted,,Audit row; notification to requester and next approver,unknown,,DISCOVERED,
OP-ITAM-REQ-REJECT,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests (row Reject),,AssetRequest,transition,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,623,"Same call with 'Rejected'; the rejecter's name is written into approvedBy, so the column labelled 'Approved by' shows the person who rejected it. No reason is captured.","Reject with a mandatory reason, close remaining steps and notify the requester.",POST /api/v1/assets/requests/{id}/reject,reason 1..1000 required,As approve,,Audit row; notification,unknown,,DISCOVERED,
OP-ITAM-REQ-ISSUE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests,,AssetRequest,transition,/Users/sushank/.codex/worktrees/ac6c/gst/src/lib/assetData.ts,112,"Missing — 'Issued' exists in requestStatuses and in the status filter, but no control anywhere sets it and no request is ever linked to an asset.","Pick an In Stock unit against an approved request, open the assignment, set the asset to Issued and the request to Issued in one transaction.",POST /api/v1/assets/requests/{id}/issue,Request must be Approved; chosen asset must be In Stock and of the requested type,Asset admin,,Audit row; custodian notification,unknown,,SERVED,
OP-ITAM-REQ-DETAIL,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=requests,,AssetRequest,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,592,"Missing — rows are not clickable, so the approval trail (which does not exist) cannot be inspected.","Detail view with the full approval trail, decision notes and the issued unit.",GET /api/v1/assets/requests/{id},,"Requester, approvers, admins",,none,unknown,,DISCOVERED,
